ds,y
2016-06-13,18.15
2016-06-14,18.1
2016-06-15,18.3
2016-06-16,18.6
2016-06-17,18.7
2016-06-20,18.7
2016-06-21,18.4
2016-06-22,18.05
2016-06-23,17.9
2016-06-24,17.45
2016-06-27,17.3
2016-06-28,17.15
2016-06-29,17.1
2016-06-30,17.75
2016-07-01,17.55
2016-07-04,17.45
2016-07-05,17.35
2016-07-06,17.55
2016-07-08,17.55
2016-07-11,17.45
2016-07-12,17.3
2016-07-13,17.35
2016-07-14,17.4
2016-07-15,17.35
2016-07-18,17.25
2016-07-19,17.65
2016-07-20,18.0
2016-07-21,18.1
2016-07-22,18.05
2016-07-25,18.1
2016-07-26,18.85
2016-07-27,18.85
2016-07-28,18.9
2016-07-29,19.05
2016-08-01,19.4
2016-08-02,20.0
2016-08-03,20.25
2016-08-04,19.65
2016-08-05,19.8
2016-08-08,19.7
2016-08-09,19.75
2016-08-10,19.9
2016-08-11,19.9
2016-08-12,20.0
2016-08-15,20.25
2016-08-16,21.0
2016-08-17,21.25
2016-08-18,21.25
2016-08-19,21.25
2016-08-22,20.75
2016-08-23,21.25
2016-08-24,21.25
2016-08-25,20.0
2016-08-26,19.65
2016-08-29,20.0
2016-08-30,20.0
2016-08-31,20.0
2016-09-01,20.0
2016-09-02,19.95
2016-09-05,18.4
2016-09-06,18.85
2016-09-07,19.0
2016-09-08,19.0
2016-09-09,19.0
2016-09-13,19.0
2016-09-14,18.9
2016-09-15,18.9
2016-09-16,18.9
2016-09-19,19.0
2016-09-20,19.15
2016-09-21,19.35
2016-09-22,19.4
2016-09-23,19.4
2016-09-26,19.5
2016-09-27,19.7
2016-09-28,19.95
2016-09-29,19.85
2016-09-30,19.95
2016-10-03,20.0
2016-10-04,20.0
2016-10-05,20.0
2016-10-06,19.95
2016-10-07,20.25
2016-10-10,20.25
2016-10-11,20.0
2016-10-12,19.9
2016-10-13,19.95
2016-10-14,19.95
2016-10-17,19.85
2016-10-18,19.75
2016-10-19,19.7
2016-10-21,19.7
2016-10-24,20.0
2016-10-25,20.0
2016-10-26,20.0
2016-10-27,19.95
2016-10-28,19.9
2016-10-31,19.85
2016-11-01,20.25
2016-11-02,20.75
2016-11-03,21.25
2016-11-04,21.25
2016-11-07,21.0
2016-11-08,20.75
2016-11-09,20.25
2016-11-10,20.75
2016-11-11,20.75
2016-11-14,20.25
2016-11-15,20.25
2016-11-16,20.5
2016-11-17,20.5
2016-11-18,20.0
2016-11-21,20.0
2016-11-22,19.95
2016-11-23,20.0
2016-11-24,19.95
2016-11-25,19.9
2016-11-28,19.85
2016-11-29,19.85
2016-11-30,19.9
2016-12-01,20.0
2016-12-02,19.95
2016-12-05,19.9
2016-12-06,19.8
2016-12-07,19.7
2016-12-08,19.35
2016-12-09,19.0
2016-12-13,18.9
2016-12-14,18.9
2016-12-15,18.75
2016-12-16,18.75
2016-12-19,19.0
2016-12-20,19.0
2016-12-21,19.0
2016-12-22,19.45
2016-12-23,19.5
2016-12-28,19.25
2016-12-29,19.05
2016-12-30,19.15
2017-01-03,19.0
2017-01-04,19.0
2017-01-05,18.8
2017-01-06,18.6
2017-01-09,18.5
2017-01-10,18.2
2017-01-11,18.0
2017-01-12,17.95
2017-01-13,17.95
2017-01-16,17.95
2017-01-17,17.95
2017-01-18,18.05
2017-01-19,18.15
2017-01-20,18.15
2017-01-23,18.2
2017-01-24,18.2
2017-01-25,18.2
2017-01-26,18.25
2017-01-27,18.4
2017-01-30,18.35
2017-01-31,18.5
2017-02-01,18.55
2017-02-02,18.55
2017-02-03,18.65
2017-02-06,18.9
2017-02-07,18.65
2017-02-08,18.4
2017-02-09,18.45
2017-02-10,18.5
2017-02-13,18.4
