Date,Price,Open,High,Low,Vol.,Change %
2019-05-23,26.15,26.15,26.25,26.05,640200.0,0.19
2019-05-22,26.1,26.05,27.0,26.05,13510000.0,-0.95
2019-05-21,26.35,26.25,26.5,26.0,8350000.0,0.57
2019-05-20,26.2,26.05,26.5,26.05,5780000.0,0.19
2019-05-17,26.15,26.2,26.6,26.05,12300000.0,-0.38
2019-05-16,26.25,26.7,26.7,26.05,6430000.0,-1.69
2019-05-15,26.7,27.2,27.2,26.35,9710000.0,1.14
2019-05-14,26.4,27.2,27.2,26.1,8460000.0,-2.94
2019-05-13,27.2,28.0,28.0,27.0,8460000.0,-0.91
2019-05-10,27.45,27.9,27.9,27.2,3580000.0,-1.79
2019-05-09,27.95,28.3,28.3,27.8,5290000.0,-0.71
2019-05-08,28.15,29.0,29.0,28.0,3400000.0,-1.57
2019-05-07,28.6,29.5,29.5,28.2,4350000.0,-0.17
2019-05-06,28.65,29.0,29.0,28.5,2750000.0,-2.05
2019-05-03,29.25,29.8,30.0,28.35,4960000.0,-1.02
2019-05-02,29.55,28.25,30.0,28.25,7890000.0,4.97
2019-04-30,28.15,28.2,28.6,28.1,2690000.0,0.54
2019-04-29,28.0,28.5,28.5,27.85,3260000.0,0.18
2019-04-26,27.95,27.85,28.0,27.85,2880000.0,0.0
2019-04-25,27.95,28.0,28.1,27.9,14340000.0,-0.18
2019-04-24,28.0,27.85,28.1,27.85,8050000.000000001,0.18
2019-04-23,27.95,28.0,28.0,27.65,4290000.0,0.36
2019-04-18,27.85,27.8,28.0,27.65,1770000.0,0.0
2019-04-17,27.85,27.6,28.0,27.6,2210000.0,1.27
2019-04-16,27.5,27.3,27.75,27.3,7260000.0,0.73
2019-04-15,27.3,27.2,27.5,27.05,1270000.0,-0.73
2019-04-12,27.5,27.75,27.75,27.05,6690000.0,-0.72
2019-04-11,27.7,27.8,27.8,27.6,3310000.0,-0.18
2019-04-10,27.75,27.9,28.0,27.65,10070000.0,-0.36
2019-04-09,27.85,28.0,28.0,27.6,10030000.0,-0.54
2019-04-08,28.0,27.85,28.0,27.65,15720000.0,0.0
2019-04-05,28.0,28.0,28.1,27.65,11070000.0,-0.18
2019-04-04,28.05,28.15,28.2,28.0,3200000.0,-0.18
2019-04-03,28.1,28.0,28.2,28.0,2480000.0,0.0
2019-04-02,28.1,28.0,28.5,28.0,12060000.0,0.72
2019-04-01,27.9,27.7,28.1,27.6,8470000.0,1.27
2019-03-29,27.55,27.0,27.7,27.0,5200000.0,1.66
2019-03-28,27.1,27.0,27.25,27.0,1940000.0,-0.55
2019-03-27,27.25,27.5,27.75,26.95,8520000.0,-1.27
2019-03-26,27.6,27.95,27.95,27.2,17530000.0,-1.25
2019-03-25,27.95,28.15,28.2,27.5,22980000.0,-0.71
2019-03-22,28.15,28.65,28.65,28.0,6940000.0,-1.75
2019-03-21,28.65,30.0,30.0,28.3,7730000.0,0.35
2019-03-20,28.55,28.0,28.75,28.0,3770000.0,1.96
2019-03-19,28.0,28.5,28.5,27.6,19000000.0,-1.75
2019-03-18,28.5,27.6,28.75,27.5,12840000.0,2.7
2019-03-15,27.75,27.0,28.1,26.8,9910000.0,2.78
2019-03-14,27.0,27.0,27.1,26.75,7630000.0,0.93
2019-03-13,26.75,26.85,27.0,26.5,13640000.0,-0.56
2019-03-12,26.9,27.0,27.0,26.7,4070000.0000000005,0.0
2019-03-11,26.9,27.0,27.0,26.75,2080000.0,-0.37
2019-03-08,27.0,26.9,27.45,26.8,16000000.0,0.75
2019-03-07,26.8,26.6,27.0,26.6,2960000.0,0.75
2019-03-06,26.6,26.55,26.75,26.4,5450000.0,0.38
2019-03-05,26.5,26.5,26.55,26.3,4230000.0,0.19
2019-03-04,26.45,26.5,26.55,26.05,3350000.0,1.34
2019-03-01,26.1,26.0,26.5,26.0,9110000.0,0.38
2019-02-28,26.0,26.5,26.5,25.95,13900000.0,-2.07
2019-02-27,26.55,26.6,26.7,26.3,4050000.0,-0.19
2019-02-26,26.6,26.5,26.65,26.3,3380000.0,0.38
2019-02-25,26.5,26.15,26.7,26.15,4930000.0,1.73
2019-02-22,26.05,26.05,26.2,26.0,5420000.0,0.19
2019-02-21,26.0,26.1,26.15,26.0,9920000.0,-0.57
2019-02-20,26.15,26.05,26.5,26.05,2630000.0,0.0
2019-02-19,26.15,26.1,26.5,26.0,2410000.0,0.38
2019-02-18,26.05,26.0,26.9,25.9,10590000.0,-0.19
2019-02-15,26.1,27.0,27.0,26.0,1610000.0,-1.32
2019-02-14,26.45,26.85,26.85,25.95,12160000.0,-1.67
2019-02-13,26.9,26.9,27.0,26.05,5820000.0,0.0
2019-02-12,26.9,27.0,27.0,26.8,7060000.0,0.37
2019-02-11,26.8,26.85,26.95,26.5,12200000.0,-0.19
2019-02-08,26.85,27.0,27.0,26.5,22910000.0,-0.74
2019-02-07,27.05,27.0,27.1,26.9,12460000.0,0.56
2019-02-06,26.9,26.55,27.2,26.5,19640000.0,1.51
2019-02-05,26.5,26.15,27.0,26.1,20160000.0,1.92
2019-02-04,26.0,25.5,26.25,25.5,10610000.0,1.96
2019-02-01,25.5,24.0,25.6,24.0,14810000.0,6.92
2019-01-31,23.85,23.6,24.5,23.6,61100000.0,0.63
2019-01-30,23.7,23.5,24.0,23.4,12470000.0,1.07
2019-01-29,23.45,23.5,23.6,23.05,7800000.0,0.0
2019-01-28,23.45,23.5,23.75,23.35,23040000.0,0.0
2019-01-25,23.45,23.45,23.65,23.15,14280000.0,1.08
2019-01-24,23.2,23.2,23.4,23.05,4050000.0,-0.22
2019-01-23,23.25,23.3,23.45,23.05,2770000.0,-0.21
2019-01-22,23.3,23.5,23.5,23.05,3850000.0,-0.85
2019-01-21,23.5,23.7,23.7,23.05,20870000.0,-0.84
2019-01-18,23.7,23.75,23.95,23.5,28010000.0,-0.21
2019-01-17,23.75,23.9,24.0,23.55,5580000.0,-0.21
2019-01-16,23.8,23.8,24.3,23.7,14060000.0,1.28
2019-01-15,23.5,23.5,23.8,23.5,21630000.0,0.0
